Name,Department,year1,year2,year3,year4,year5,Years,Graduated
Willson Bond,Software Programming,4.4,3.2,2.8,4.4,4.4,5,2014
Edding Slipey,Architecture,4.4,2.8,4.4,,,3,2016
Emerson Kiki,Mechganical Engineering,3.6,4.4,4,3.2,4.4,5,2014
Mizphabet Bill,Biochemistry,4,2.8,2.8,2.4,,4,2015
Rica John,Geology,4.4,4,2.8,2,,4,2015
Charlotte Mark,Information Technology,3.6,3.6,2,4.4,,4,2015
Greenwich Whice,Physics,2.8,2.8,4.4,4.4,4,5,2014
Alexander Cara,Machine and Deep Engineering,4,3.6,4,4,,4,2015
Thompson Philine,Data Analysis,3.6,2.4,4,,,3,2016
Santos Charles,Information Technology,2.4,2.4,3.2,3.2,,4,2015
David Chris,Statistics,3.6,3.6,4.4,2,,4,2015
Greenwich Bill,Architecture,4.4,3.6,4.4,2.4,2.8,5,2014
Smith Mark,Software Programming,2,3.2,2.8,,,3,2016
Edding Julius,Data Analysis,2.4,4,3.2,,,3,2016
Greenwich Dan,Bio Technology,4,3.2,2.8,,,3,2016
Andrew Anabelle,Data Analysis,4,2.8,3.6,,,3,2016
Phelionni Burna,Statistics,3.6,3.6,2.4,4,,4,2015
Hezekiah Philine,Survey and Geo-informatics,2,2.8,2.4,,,3,2016
Lucas Green,Mechganical Engineering,3.2,3.6,3.6,2,2,5,2014
Santos Esther,Software Programming,2.4,2.8,2.8,,,3,2016
Robert Esther,Mechganical Engineering,3.2,2.4,4,4,,4,2015
Febo Green,Biochemistry,2.8,4,3.6,4.4,2.4,5,2014
Manchester Kiki,Mechganical Engineering,2,2,2.4,4,,4,2015
David Burna,Bio Technology,2,3.6,3.6,2,,4,2015
Diego Shorya,Physics,3.6,3.6,2.8,4.4,3.6,5,2014
PyRodri Jordan,Computer Science,2.4,2.4,2.8,,,3,2016
Mizphabet Mark,Computer Engineering,2.8,4,3.6,,,3,2016
Andrew Nicki,Physics,3.2,3.2,4,3.2,,4,2015
McCall Lingard,Geology,2.4,3.2,4.4,2.4,4.4,5,2014
Charlotte Cavati,Data Analysis,4.4,3.2,3.6,2.8,,4,2015
McCall James,Geology,4.4,3.2,2.4,4.4,,4,2015
Torgan Cavati,Micro Biology,2.8,3.6,4.4,2.8,,4,2015
Willson Brenda,Biochemistry,2.4,3.6,3.2,4.4,,4,2015
Ford Brenda,Geology,2.4,2,4,,,3,2016
Mizphabet Priscilia,Computer Science,3.2,2.8,4,2.4,,4,2015
Mourinho Love,Computer Engineering,3.2,3.2,2.8,2,2.8,5,2014
Alexander Babbage,Geology,4.4,2,4.4,,,3,2016
Kendrick Montana,Mechganical Engineering,2,2.4,2.4,,,3,2016
Willson Young man,Computer Science,2.8,2,2.8,4,2.4,5,2014
Alexander Emtee,Geology,2.8,3.2,4,2.8,,4,2015
Phelionni James,Computer Science,3.6,2.4,4,,,3,2016
PyRodri Marla,Micro Biology,3.6,2.8,3.6,2.8,,4,2015
Phelionni Hummit,Mechganical Engineering,2,3.2,3.6,4.4,,4,2015
Gomez Love,Machine and Deep Engineering,2,3.2,2.4,2,,4,2015
Lorrience Lingard,Mechganical Engineering,2.4,2.8,2.4,2.4,3.6,5,2014
PyRodri Anabelle,Statistics,3.2,2.4,4.4,2.4,,4,2015
Chelsea Casandra,Cyber Security,3.6,2.4,3.2,,,3,2016
Torgan Babbage,Cyber Security,2,2.4,2.4,,,3,2016
Lucas Casandra,Micro Biology,2.4,2.4,2.8,3.2,,4,2015
McCoaster Gopy,Computer Engineering,2.8,2.8,2,,,3,2016
McCall Paul,Information Technology,3.6,3.2,4.4,2.4,,4,2015
Becam Young man,Biochemistry,3.2,3.2,3.2,3.2,2.4,5,2014
Richard Jack,Micro Biology,2,4,3.6,2.4,4.4,5,2014
Edding James,Computer Science,2.4,2.8,2.4,,,3,2016
Lorrience John,Information Technology,4.4,3.6,3.2,4,,4,2015
McCall Babbage,Micro Biology,4,2.4,4,4.4,,4,2015
Kendrick Philine,Computer Engineering,2.8,2.8,2.4,3.6,4.4,5,2014
Luke Dunlop,Physics,4,2,3.6,,,3,2016
Torgan Edward,Building Technology,2.4,2.4,4.4,,,3,2016
Torgan Charles,Mechganical Engineering,2.4,4,3.2,4,4.4,5,2014
Febo Nicki,Mechganical Engineering,2.4,2,4,2,2.8,5,2014
Smith Anabelle,Mining Engineering,4.4,3.6,2.8,2.8,2.4,5,2014
Becam Cavati,Biochemistry,2.8,2,3.6,,,3,2016
Abraham White,Cyber Security,2,2.4,4,,,3,2016
Manchester Limpo,Computer Engineering,4,3.6,3.6,2.8,2.8,5,2014
Hezekiah Wayne,Computer Engineering,3.2,3.2,2.4,3.6,,4,2015
Subdila Babbage,Architecture,4,2,4,4.4,,4,2015
Torgan Justin,Micro Biology,3.6,4,4.4,2,4.4,5,2014
Douglas Babbage,Statistics,2.4,2,2,2.8,3.6,5,2014
Luke Babbage,Micro Biology,4,2.4,4.4,2,2.8,5,2014
Narcos Bill,Machine and Deep Engineering,4.4,4,4,,,3,2016
Narcos Jordan,Geology,2.8,2.4,4,,,3,2016
Willson Emtee,Geology,4.4,2.8,2,2.4,2,5,2014
Smith Marla,Software Programming,3.2,3.6,4.4,3.6,3.2,5,2014
Smith Julius,Geology,4.4,4.4,2,2.4,,4,2015
Anderson Kiki,Mechganical Engineering,2.4,2,3.2,2.8,2.8,5,2014
Sebastian Hustle,Bio Technology,3.2,2.4,2.8,2,,4,2015
Anderson Esther,Software Programming,2,4,3.6,2.8,,4,2015
Mizphabet Wayne,Software Programming,3.6,2.8,3.2,2.4,2,5,2014
Santos Gopy,Computer Engineering,2.8,2.4,2.4,4,,4,2015
Andrew Dunlop,Computer Science,3.6,2.4,2.4,3.2,4,5,2014
Malcomm Montana,Building Technology,2,3.6,3.2,4,4.4,5,2014
Alexander Wayne,Survey and Geo-informatics,4,2.4,2.4,3.6,4.4,5,2014
Ford Green,Survey and Geo-informatics,2,2,2.8,,,3,2016
Diego James,Computer Engineering,3.2,2,4.4,2.4,,4,2015
Manchester Slipey,Computer Engineering,2.8,4.4,3.6,4.4,,4,2015
McCall Emtee,Information Technology,2,2,2,,,3,2016
Barcelona Emtee,Architecture,3.2,2.8,2.8,2.8,,4,2015
Ford Mark,Bio Technology,3.2,2.8,3.2,2.4,,4,2015
Torgan Mark,Software Programming,4.4,2,2,4.4,2.4,5,2014
Lucas Cavati,Software Programming,4,4,3.6,3.6,3.2,5,2014
Luke Marla,Biochemistry,2,4,3.6,,,3,2016
Silver Justin,Micro Biology,3.2,3.6,4.4,2,,4,2015
Charlotte Jack,Computer Science,2.8,2.4,2,4,2,5,2014
Honda John,Architecture,3.2,2.8,4.4,,,3,2016
Sebastian Charles,Civil Engineering,4.4,2,4,,,3,2016
Gomez Wayne,Mechganical Engineering,4.4,4,4.4,,,3,2016
Henry Whice,Mining Engineering,4,3.6,2.8,,,3,2016
Emerson Burna,Cyber Security,2,2.8,3.6,3.6,,4,2015
Mizphabet Sandra,Biochemistry,3.2,4.4,2.4,2,,4,2015
McCoaster Philine,Geology,4.4,2.8,4.4,2,3.2,5,2014
Abraham Lingard,Machine and Deep Engineering,4,3.6,2.8,,,3,2016
Marcos Green,Information Technology,3.6,3.2,4.4,,,3,2016
Santos Lingard,Architecture,3.2,2,2.8,,,3,2016
Chelsea Wayne,Mechganical Engineering,3.6,2.4,2,,,3,2016
Charlotte Brenda,Geology,4.4,4,3.6,4.4,,4,2015
Alexander Hummit,Software Programming,4.4,4,3.2,4.4,,4,2015
Sebastian Slipey,Computer Engineering,2,2.4,2.4,,,3,2016
Charlotte Anabelle,Statistics,2,2.8,2.8,,,3,2016
Emerson Justin,Software Programming,3.2,2,2.8,4,,4,2015
Silver Paul,Bio Technology,4.4,4,2,4.4,,4,2015
David Hummit,Computer Engineering,2,3.6,2.4,4,,4,2015
Sebastian Cavati,Biochemistry,4.4,2,2.4,4.4,,4,2015
PyRodri James,Information Technology,4,2.8,4,4,4.4,5,2014
Donald Babbage,Survey and Geo-informatics,2,3.2,3.2,4.4,,4,2015
Donald Whice,Information Technology,3.2,4,2,,,3,2016
Sebastian Montana,Mining Engineering,2.8,3.6,3.6,2.4,2.8,5,2014
Luke Philine,Civil Engineering,4,2.4,3.2,,,3,2016
Douglas Nicki,Machine and Deep Engineering,4.4,4.4,3.2,4,3.6,5,2014
Willson Paul,Bio Technology,4,2,4,,,3,2016
Honda Priscilia,Cyber Security,2.8,2.4,2,3.2,4,5,2014
Torgan Chris,Computer Engineering,2.8,2.4,2,3.6,,4,2015
Becam John,Statistics,4,4.4,4,,,3,2016
Manchester Sandra,Architecture,4.4,2.4,4,2.4,2.4,5,2014
Luke Shorya,Software Programming,3.2,3.6,3.6,,,3,2016
David Dunlop,Computer Science,4.4,4.4,4,,,3,2016
Alexander Brenda,Architecture,4.4,3.6,2.4,,,3,2016
Edding Wayne,Computer Science,4,2,4,2,2.4,5,2014
Edding Babbage,Micro Biology,2,4,4.4,,,3,2016
Phelionni Bond,Machine and Deep Engineering,2.4,3.2,4.4,3.6,2.8,5,2014
Subdila Philine,Building Technology,2.8,3.2,3.2,,,3,2016
Greenwich Kiki,Software Programming,4,3.6,4,2.4,,4,2015
Abraham Coutiho,Micro Biology,4.4,2.4,2,,,3,2016
Einstein Emrican,Machine and Deep Engineering,4.4,3.6,2.4,2.4,4,5,2014
Sellini Anabelle,Cyber Security,2.8,3.2,2.8,2.8,2,5,2014
Henry Brenda,Civil Engineering,3.6,4.4,2.4,4,,4,2015
Sebastian Cara,Architecture,3.6,4.4,3.6,2.8,2.4,5,2014
Abraham Charles,Survey and Geo-informatics,3.6,2.4,4.4,2.4,2.4,5,2014
David Marla,Machine and Deep Engineering,2.8,4,2,3.6,,4,2015
Anderson Hummit,Information Technology,2.8,4,4.4,4.4,4.4,5,2014
Smith Casandra,Statistics,3.2,3.2,2.4,2.4,,4,2015
Barcelona Esther,Civil Engineering,3.2,3.2,2,2.8,4.4,5,2014
Kendrick Dan,Bio Technology,2,3.6,3.6,2.8,2.4,5,2014
Einstein Julius,Statistics,4.4,3.2,3.6,3.6,,4,2015
Mizphabet Babbage,Micro Biology,2,2,2.8,3.2,,4,2015
Kendrick Wayne,Machine and Deep Engineering,3.2,3.6,2.8,4.4,,4,2015
Luke Chris,Statistics,4.4,3.2,3.6,2,3.6,5,2014
PyRodri Dunlop,Physics,2.4,3.6,4.4,2.4,4.4,5,2014
Mourinho Hustle,Computer Science,3.2,4,2,,,3,2016
Mizphabet Cavati,Mining Engineering,2.4,3.2,4,3.6,3.6,5,2014
Luke Edward,Data Analysis,3.2,4.4,2.8,,,3,2016
Lucas Mark,Mining Engineering,2.4,3.2,2,2,,4,2015
Emerson Limpo,Civil Engineering,2.4,2,2.8,2.8,4,5,2014
Hewlette Green,Geology,2.8,3.2,4,2.4,,4,2015
Marcos Mercy,Statistics,2,3.2,2.8,,,3,2016
Subdila John,Computer Science,2.4,2,4,2.8,,4,2015
Paulinho Justin,Mechganical Engineering,2.8,4,2.4,,,3,2016
Torgan Limpo,Micro Biology,3.6,3.2,3.2,2.8,,4,2015
Sebastian Brenda,Computer Science,2,4.4,3.2,2,,4,2015
Becam Limpo,Building Technology,4.4,2.4,4.4,3.2,2.8,5,2014
McCoaster Cavati,Geology,2,3.2,2.4,4,,4,2015
Mourinho Casandra,Computer Engineering,2.8,4,3.6,2,,4,2015
Douglas John,Information Technology,3.6,3.2,2,,,3,2016
Manchester Shorya,Computer Science,2.4,2.8,2,4,2,5,2014
Chelsea Coutiho,Data Analysis,3.6,2.4,4.4,2.8,,4,2015
Marcos Gopy,Mechganical Engineering,2,2.8,2.4,3.2,4,5,2014
Greenwich Love,Data Analysis,2.8,4.4,2,,,3,2016
Manchester Hustle,Computer Engineering,4.4,4,4,3.2,,4,2015
Anderson Green,Information Technology,3.2,2.8,4.4,,,3,2016
Richard Mark,Machine and Deep Engineering,2.8,2.8,3.2,,,3,2016
Lucas Coutiho,Micro Biology,2.4,2.4,3.2,,,3,2016
Phelionni Casandra,Machine and Deep Engineering,2.8,4,2,3.2,,4,2015
Becam Cara,Mining Engineering,4,2.8,4,,,3,2016
Ford Dan,Micro Biology,2.4,2,4.4,3.2,,4,2015
Paulinho Hustle,Computer Engineering,3.6,3.6,3.6,3.2,2.4,5,2014
Marcos Jordan,Statistics,4.4,4,2.8,2,,4,2015
Paulinho Love,Micro Biology,3.6,2.4,2,2,,4,2015
Manchester Fredie,Data Analysis,3.6,3.6,3.2,,,3,2016
Manchester Emrican,Computer Engineering,3.6,2.8,4.4,4.4,,4,2015
Hewlette Emrican,Cyber Security,4,2.4,3.6,2.4,4.4,5,2014
Malcomm Nicki,Information Technology,2.4,3.6,2,,,3,2016
Donald Anabelle,Software Programming,4,2.4,2.4,,,3,2016
Alexander Dan,Biochemistry,4.4,3.6,2.4,,,3,2016
Hezekiah James,Mining Engineering,3.6,4,4.4,,,3,2016
Becam Fredie,Building Technology,2.4,4,2,,,3,2016
Diego Burna,Computer Engineering,3.2,4,3.6,,,3,2016
Paulinho Lingard,Mining Engineering,4.4,3.2,2.8,2.8,2.8,5,2014
Alexander Burna,Machine and Deep Engineering,3.2,2.4,3.2,3.2,,4,2015
Marcos Marla,Micro Biology,2,3.6,4,4.4,2.4,5,2014
Becam Priscilia,Bio Technology,3.6,4.4,2,,,3,2016
Luke Emtee,Mechganical Engineering,4,2,3.6,3.2,,4,2015
Subdila Paul,Statistics,3.2,4.4,2,,,3,2016
Kendrick Cara,Biochemistry,4.4,2,3.6,3.6,,4,2015
Mourinho Sandra,Mining Engineering,3.6,2.4,3.6,,,3,2016
Mizphabet Lingard,Data Analysis,2.4,2.8,2.8,,,3,2016
Kendrick Fredie,Geology,3.2,2,4,,,3,2016
Phelionni Slipey,Statistics,2.4,2.4,4.4,4,,4,2015
Smith Berger,Machine and Deep Engineering,4,3.2,2,3.2,4,5,2014
Charlotte Casandra,Architecture,3.6,4,3.2,2,4.4,5,2014
Barcelona Slipey,Statistics,4.4,3.6,4.4,2.8,4,5,2014
Donald Kiki,Machine and Deep Engineering,4.4,3.2,3.2,3.2,,4,2015
Narcos John,Building Technology,4.4,3.6,2.4,3.2,,4,2015
Greenwich Hummit,Biochemistry,4.4,2,2.4,4,,4,2015
Mizphabet Jordan,Building Technology,2.8,4,2.4,2.4,,4,2015
Einstein Jack,Building Technology,2,4,2,2.4,,4,2015
Henry Emtee,Information Technology,2.4,4,2.8,3.6,,4,2015
Charlotte Gopy,Computer Engineering,2.4,4,3.6,,,3,2016
Narcos James,Mining Engineering,4.4,3.2,2,2,,4,2015
Emerson Priscilia,Building Technology,2.8,3.2,4.4,,,3,2016
Marcos Cara,Physics,2.8,2.8,2.8,2.4,,4,2015
Lorrience Gopy,Statistics,2.8,3.2,4,4.4,3.6,5,2014
Hezekiah Sandra,Machine and Deep Engineering,3.6,2.8,4.4,,,3,2016
Honda Lingard,Bio Technology,2.8,4.4,2.4,3.6,,4,2015
McCoaster Fredie,Micro Biology,4,3.6,2.8,2.4,,4,2015
Abraham Sandra,Bio Technology,4,2.8,3.6,3.2,,4,2015
Henry Bond,Geology,4.4,4.4,3.2,4.4,3.6,5,2014
Marcos Charles,Software Programming,2.4,3.2,3.6,2,4,5,2014
Honda James,Computer Engineering,3.6,3.6,2,3.2,,4,2015
Henry Shorya,Computer Science,2.4,2.8,2.8,4,,4,2015
Andrew Kiki,Architecture,2,2.4,4.4,2.4,,4,2015
Donald Wayne,Survey and Geo-informatics,3.2,2.4,4,4.4,,4,2015
Anderson Love,Geology,3.2,3.2,2.4,4.4,,4,2015
Richard Nicki,Information Technology,3.6,4,4.4,3.2,2,5,2014
McCoaster Hustle,Machine and Deep Engineering,2.4,4.4,4.4,3.6,,4,2015
McCall Berger,Cyber Security,3.6,4.4,2.4,2.4,,4,2015
Douglas Gopy,Survey and Geo-informatics,2,2.4,4.4,4,,4,2015
Emerson Bond,Geology,3.2,2,2.8,4.4,2,5,2014
Richard Gopy,Mechganical Engineering,2.4,4.4,4.4,2.4,,4,2015
Mourinho Slipey,Software Programming,2.8,3.6,4.4,3.6,2.8,5,2014
Torgan Nicki,Mechganical Engineering,2,3.2,4,,,3,2016
Andrew Jack,Machine and Deep Engineering,3.2,3.2,4,4.4,2,5,2014
Narcos Justin,Information Technology,4.4,4,2.8,4.4,2,5,2014
David Hustle,Machine and Deep Engineering,2.8,3.2,2.8,,,3,2016
Emerson Cara,Machine and Deep Engineering,2.8,2.8,4,4,,4,2015
Becam Mark,Computer Science,4,2.4,2,4,,4,2015
PyRodri Gopy,Architecture,3.2,2,2.4,4.4,,4,2015
Henry Wayne,Micro Biology,3.6,4.4,4.4,4,,4,2015
Lucas Berger,Software Programming,4.4,3.2,3.6,3.6,,4,2015
Robert Burna,Bio Technology,3.2,2.8,2.4,2,2,5,2014
Narcos Mercy,Machine and Deep Engineering,3.6,2,2.8,3.2,,4,2015
Smith Nicki,Mining Engineering,3.6,4.4,2.4,,,3,2016
Lucas Dunlop,Geology,2,2.4,2.8,2.4,,4,2015
Lorrience Cavati,Architecture,4,4.4,2.8,2.4,,4,2015
Henry Julius,Micro Biology,4,2.4,2.4,,,3,2016
Greenwich Babbage,Machine and Deep Engineering,2.4,4.4,3.2,2,2,5,2014
Andrew Berger,Bio Technology,3.2,4.4,4.4,2.8,4.4,5,2014
Abraham Hummit,Biochemistry,2,2,3.2,,,3,2016
Malcomm Jack,Computer Science,4.4,2.8,3.6,2.8,,4,2015
Lorrience Dan,Bio Technology,4.4,2,2.4,2.8,,4,2015
Santos Nicki,Bio Technology,4.4,3.2,4,,,3,2016
PyRodri Bond,Computer Engineering,2.4,4,2.4,3.2,2,5,2014
PyRodri Montana,Biochemistry,3.2,2.8,2.8,2,2.8,5,2014
Subdila Cara,Civil Engineering,3.6,3.6,3.2,3.6,,4,2015
Lucas Montana,Building Technology,3.2,3.2,3.6,2.4,,4,2015
Febo Coutiho,Survey and Geo-informatics,3.2,4,4,4.4,2,5,2014
Anderson Brenda,Micro Biology,2.8,2,3.6,,,3,2016
Kendrick Dunlop,Biochemistry,4,2,2.8,,,3,2016
McCall Marla,Mining Engineering,2.4,2,2.4,3.6,,4,2015
Chelsea Jordan,Civil Engineering,4,2,2,3.6,2,5,2014
Anderson Mercy,Building Technology,4.4,2.8,4.4,4.4,,4,2015
Febo James,Mining Engineering,2,3.2,2.8,2.8,,4,2015
Diego Justin,Information Technology,2.8,2,2,,,3,2016
Einstein Priscilia,Software Programming,2.4,3.2,2.8,4.4,,4,2015
Lorrience Anabelle,Software Programming,2,2,4.4,3.6,,4,2015
Mizphabet Casandra,Architecture,3.6,3.6,2.8,,,3,2016
Febo Berger,Biochemistry,4.4,2,4,4.4,3.6,5,2014
Hewlette Montana,Software Programming,2,3.2,4.4,,,3,2016
Lorrience Wayne,Mining Engineering,3.2,3.6,2.4,2.4,,4,2015
Robert Cara,Data Analysis,3.2,4,3.2,,,3,2016
Hezekiah Coutiho,Biochemistry,3.2,4,2.8,4.4,,4,2015
McCall Bond,Biochemistry,4.4,4,2.4,,,3,2016
Edding Whice,Computer Science,2.8,4.4,2.8,,,3,2016
Sellini Wayne,Geology,2.8,3.6,2.8,,,3,2016
Lucas Fredie,Computer Science,2.4,3.2,3.6,2.8,,4,2015
Chelsea Whice,Micro Biology,2,2.8,3.6,,,3,2016
Robert Love,Data Analysis,4.4,4,2,3.2,,4,2015
Subdila Love,Mechganical Engineering,2.8,4.4,3.2,,,3,2016
Gomez Dunlop,Data Analysis,2.4,2.4,2,3.2,2,5,2014
Willson Limpo,Micro Biology,2,2,2,2.4,2,5,2014
Willson Fredie,Mechganical Engineering,3.2,2.8,2.4,2,3.6,5,2014
Paulinho Chris,Machine and Deep Engineering,2.4,2.4,3.2,3.2,3.2,5,2014
Narcos Shorya,Civil Engineering,2,4,4.4,3.6,,4,2015
Edding Justin,Civil Engineering,4.4,2.8,2,2.4,,4,2015
Mourinho Dembele,Machine and Deep Engineering,2.8,4.4,3.6,2.8,,4,2015
Greenwich John,Bio Technology,2,3.6,2,4.4,,4,2015
Donald Marla,Cyber Security,4.4,4.4,4.4,2.8,2.4,5,2014
Andrew Philine,Computer Science,3.6,2,2.4,,,3,2016
Einstein Jordan,Micro Biology,2.8,2,3.2,,,3,2016
Mourinho Montana,Information Technology,4,2.4,3.2,,,3,2016
Gomez Kiki,Biochemistry,2.8,3.6,4.4,2,2,5,2014
Diego Young man,Computer Engineering,3.2,3.2,4.4,,,3,2016
Hezekiah Green,Civil Engineering,2.8,3.2,2,2.4,,4,2015
Donald Dan,Computer Science,4,2.4,4,2.8,,4,2015
Gomez Dan,Survey and Geo-informatics,4,3.2,4.4,3.2,2,5,2014
Abraham Marla,Cyber Security,4,2.4,4.4,3.2,2.8,5,2014
PyRodri Wayne,Geology,3.2,4.4,2.8,,,3,2016
Robert Paul,Bio Technology,2.8,3.6,4,2,3.2,5,2014
Ford Berger,Information Technology,3.6,3.2,3.2,4.4,3.2,5,2014
Mourinho Burna,Bio Technology,4,3.2,3.2,4.4,3.6,5,2014
Hezekiah Anabelle,Computer Science,3.6,3.6,4.4,2.8,4,5,2014
Phelionni Coutiho,Survey and Geo-informatics,4.4,4,3.6,2.4,,4,2015
Greenwich Esther,Cyber Security,3.6,2.4,2,3.2,,4,2015
Richard Dembele,Statistics,4.4,2,2,,,3,2016
Robert Slipey,Physics,3.6,3.2,3.2,2.4,,4,2015
Sebastian Young man,Mechganical Engineering,4.4,4.4,2.4,,,3,2016
Anderson Anabelle,Building Technology,4.4,4.4,4.4,,,3,2016
Subdila Berger,Geology,2.4,2,2.8,2,3.2,5,2014
Hewlette Nicki,Physics,2.4,3.6,2.8,4.4,,4,2015
Torgan Jordan,Machine and Deep Engineering,4,2.4,3.2,,,3,2016
Douglas Hummit,Survey and Geo-informatics,2.4,2.8,2.8,4,2.4,5,2014
Hewlette Lingard,Cyber Security,2,3.6,4,2.4,3.6,5,2014
Richard Young man,Computer Science,4,4.4,2,2.4,,4,2015
Torgan Coutiho,Mining Engineering,2,4,4.4,2.8,2.8,5,2014
Thompson Brenda,Bio Technology,2.4,4,2.4,3.6,4,5,2014
Diego Dan,Physics,2,4.4,4.4,4.4,,4,2015
Becam Jordan,Architecture,4,2.4,4,2,2.8,5,2014
Gomez Nicki,Geology,3.6,2,3.6,,,3,2016
Barcelona Whice,Computer Science,4,2.4,4.4,3.2,4,5,2014
Hezekiah Hustle,Architecture,3.2,2,2.4,2,,4,2015
Kendrick Kiki,Micro Biology,4.4,2.8,3.6,3.2,,4,2015
Luke Coutiho,Mining Engineering,3.6,3.6,3.6,4,4,5,2014
Rica Wayne,Survey and Geo-informatics,2.8,4,2,2.8,,4,2015
Greenwich Priscilia,Cyber Security,3.2,3.2,2.4,4,2.4,5,2014
Torgan Love,Data Analysis,3.6,3.2,4.4,3.6,,4,2015
Emerson Coutiho,Civil Engineering,4,4,2.8,,,3,2016
Honda Mark,Architecture,2,2.8,3.2,4.4,3.2,5,2014
Becam Burna,Mechganical Engineering,2.8,4,2.8,2.8,,4,2015
Anderson Bond,Data Analysis,2.4,2.4,2,2.8,2,5,2014
Febo Anabelle,Statistics,2.4,2.4,3.6,2,,4,2015
Ford Hummit,Mining Engineering,3.6,2,2,,,3,2016
Donald Edward,Geology,3.6,3.2,3.2,4.4,2,5,2014
Silver Hustle,Architecture,4,3.2,4.4,,,3,2016
Sellini Marla,Software Programming,2.4,3.2,2,2.4,4.4,5,2014
Mizphabet Young man,Cyber Security,2,3.6,2,2.4,,4,2015
Silver Nicki,Micro Biology,4.4,2,2,,,3,2016
Sellini Charles,Micro Biology,3.2,4,3.2,3.6,,4,2015
David Edward,Biochemistry,2.4,4,2,3.6,2,5,2014
Gomez Slipey,Information Technology,2.8,3.2,2.4,,,3,2016
Sebastian Chris,Civil Engineering,4.4,2,2.8,3.6,,4,2015
Manchester Gopy,Mechganical Engineering,4.4,3.2,2,,,3,2016
Manchester Esther,Physics,2.4,2.8,2.8,2,3.2,5,2014
Einstein Lingard,Bio Technology,2.4,4,4,,,3,2016
Lucas Mercy,Data Analysis,3.2,3.6,4,2.4,4,5,2014
Thompson Young man,Geology,4,3.2,4.4,,,3,2016
Honda Edward,Software Programming,2.8,2.4,4,4.4,3.6,5,2014
Emerson Slipey,Statistics,3.2,3.6,4,3.6,,4,2015
David Casandra,Computer Science,3.6,3.2,2.8,2.8,2,5,2014
McCoaster Sandra,Software Programming,4,3.2,2,,,3,2016
Diego Emtee,Cyber Security,4.4,3.6,2,2,2,5,2014
Hewlette Justin,Micro Biology,2.8,3.2,2.4,3.6,,4,2015
Willson Kiki,Micro Biology,2,4,4.4,,,3,2016
Mourinho Charles,Software Programming,2.4,4,2.4,,,3,2016
Paulinho Edward,Computer Engineering,2.8,2.8,3.6,2,3.2,5,2014
Febo Cavati,Mining Engineering,2,2.8,2.4,,,3,2016
Alexander Nicki,Information Technology,2.8,4.4,4.4,2.4,3.2,5,2014
Robert Sandra,Bio Technology,2,4.4,4,,,3,2016
Santos Hummit,Information Technology,2,2.4,3.6,2.4,,4,2015
Chelsea Dembele,Computer Science,2.8,4.4,2.8,,,3,2016
Einstein Montana,Cyber Security,3.2,2,2.8,2.4,,4,2015
Lucas Anabelle,Machine and Deep Engineering,3.6,2.8,4.4,,,3,2016
Hezekiah Young man,Building Technology,2.4,4.4,3.2,,,3,2016
Thompson Love,Building Technology,3.2,2,4.4,3.2,3.6,5,2014
McCoaster Shorya,Biochemistry,3.2,4,2.8,3.6,4,5,2014
Santos Brenda,Machine and Deep Engineering,4,4,3.6,3.6,2,5,2014
Phelionni Young man,Mining Engineering,2.4,2.4,3.2,,,3,2016
Mizphabet Burna,Civil Engineering,2.4,2.8,4,,,3,2016
Sebastian Esther,Mining Engineering,3.6,3.6,2,2.8,,4,2015
Marcos Dan,Survey and Geo-informatics,3.6,4,3.6,2.4,2,5,2014
Diego Limpo,Computer Science,2.8,4.4,2.4,,,3,2016
Thompson Fredie,Statistics,2.4,2,2.8,4,,4,2015
Andrew Emtee,Information Technology,4.4,2.4,2.8,4,3.6,5,2014
Phelionni Emtee,Data Analysis,2.8,2,4.4,,,3,2016
Chelsea Burna,Bio Technology,2.8,2.8,2,2.4,,4,2015
Rica Paul,Mechganical Engineering,3.6,3.6,2.4,,,3,2016
David Jordan,Software Programming,3.6,2.4,4.4,3.2,2.4,5,2014
Willson Gopy,Software Programming,4.4,2.8,3.2,2.8,,4,2015
Anderson Sandra,Geology,2,3.6,2,3.6,3.6,5,2014
McCoaster Emrican,Physics,2,2.8,4,,,3,2016
Sellini Justin,Computer Engineering,2.4,3.6,2.8,,,3,2016
Luke Kiki,Data Analysis,3.6,3.2,3.6,2.4,2.8,5,2014
Donald Hummit,Data Analysis,2.8,4,4.4,3.6,,4,2015
Rica Sandra,Civil Engineering,2.4,2.8,4,2.4,3.6,5,2014
Ford Hustle,Building Technology,4.4,2.4,3.6,,,3,2016
Manchester Mark,Survey and Geo-informatics,3.6,3.2,3.6,3.6,3.2,5,2014
Honda Kiki,Civil Engineering,3.2,2,3.2,3.2,,4,2015
Chelsea Hustle,Geology,4,2.8,3.2,2.4,,4,2015
Ford Love,Mining Engineering,2,3.2,2,3.6,3.6,5,2014
Hewlette Cara,Machine and Deep Engineering,2.8,2,3.2,,,3,2016
Torgan Sandra,Bio Technology,4.4,3.6,2.4,4.4,2,5,2014
Sellini Babbage,Mining Engineering,2.4,4,4,,,3,2016
Thompson Cara,Mining Engineering,3.6,2.4,2,,,3,2016
Smith Montana,Machine and Deep Engineering,3.6,4.4,4,,,3,2016
Malcomm Edward,Cyber Security,2,3.6,4,2.8,4.4,5,2014
Silver Sandra,Bio Technology,4,4,2.4,4.4,,4,2015
